City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Inhambane,MZ,-23.865,35.3833,67.62,77,0,8.1,clear sky
288,Caramay,PH,10.1815,119.236,79.74,85,100,5.48,overcast clouds
289,Kula,TR,38.5473,28.6498,78.67,26,0,2.71,clear sky
290,Pacific Grove,US,36.6177,-121.9166,83.16,77,75,1.01,broken clouds
291,Turukhansk,RU,65.8167,87.9833,62.71,57,14,10.18,few clouds
292,Amot,NO,59.5714,7.9877,50.5,83,83,3.4,broken clouds
293,Taltal,CL,-25.4,-70.4833,64.44,59,3,6.17,clear sky
294,Lagoa,PT,39.05,-27.9833,73.09,90,0,19.35,clear sky
295,Greensburg,US,40.3015,-79.5389,87.55,52,20,1.99,few clouds
296,Baykit,RU,61.67,96.37,59.81,80,10,3.51,clear sky
297,Novobirilyussy,RU,56.9514,90.6661,55.33,96,3,0.76,clear sky
298,Akdepe,TM,42.0551,59.3788,82.4,22,0,11.01,clear sky
299,Independencia,BR,-5.3964,-40.3086,90.39,27,24,8.3,few clouds
300,Dingle,PH,10.9995,122.6711,76.89,87,100,6.93,overcast clouds
301,Luau,AO,-10.7073,22.2247,67.68,23,0,5.01,clear sky
302,Vardo,NO,70.3705,31.1107,53.35,87,40,5.75,scattered clouds
303,Road Town,VG,18.4167,-64.6167,89.69,74,40,12.66,scattered clouds
304,Christchurch,NZ,-43.5333,172.6333,47.91,89,90,1.99,light rain
305,Kontagora,NG,10.3999,5.4695,73.22,91,100,4.05,overcast clouds
306,Coihaique,CL,-45.5752,-72.0662,49.95,50,90,10.36,light rain
307,Codrington,AU,-38.2667,141.9667,51.37,82,100,11.36,overcast clouds
308,Lompoc,US,34.6391,-120.4579,80.85,65,1,18.41,clear sky
309,Korla,CN,41.7597,86.1469,81.72,26,92,17.25,overcast clouds
310,Luanda,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
311,Araouane,ML,18.9048,-3.5265,86.99,53,59,18.19,broken clouds
312,Manokwari,ID,-0.8667,134.0833,78.51,78,98,5.01,overcast clouds
313,Burnie,AU,-41.0667,145.9167,51.93,79,94,16.06,overcast clouds
314,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,94,20,13.8,few clouds
315,Voyvozh,RU,62.892,54.9635,52.2,72,1,7.92,clear sky
316,Marsa Matruh,EG,31.3525,27.2453,82.78,74,0,15.21,clear sky
317,Mastic Beach,US,40.7668,-72.8521,79.57,80,90,1.01,overcast clouds
318,Koslan,RU,63.4564,48.8989,47.48,89,27,4.63,scattered clouds
319,Galesong,ID,-5.3166,119.3661,75.22,77,77,3.71,broken clouds
320,Singapore,SG,1.2897,103.8501,82.35,83,75,3.44,broken clouds
321,Santa Rosa,PH,14.3122,121.1114,82.11,85,100,7.16,overcast clouds
322,Kimbe,PG,-5.5502,150.1429,74.7,93,95,5.66,overcast clouds
323,Mwinilunga,ZM,-11.7358,24.4293,59.61,33,0,3.29,clear sky
324,Port Elizabeth,ZA,-33.918,25.5701,59.29,88,75,12.66,light rain
325,Kampen,NL,52.555,5.9111,67.19,80,100,4.47,overcast clouds
326,Mahibadhoo,MV,3.7833,72.9667,81.82,77,98,8.16,overcast clouds
327,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,66,0,13.42,clear sky
328,Ishigaki,JP,24.3448,124.1572,82.94,86,100,22.73,overcast clouds
329,Wanaka,NZ,-44.7,169.15,36.41,93,50,3.06,scattered clouds
330,Mildura,AU,-34.2,142.15,49.06,100,90,4.61,overcast clouds
331,Bhan,PK,26.5583,67.7214,94.55,46,39,8.14,scattered clouds
332,Colesberg,ZA,-30.72,25.0972,49.68,27,0,9.06,clear sky
333,Kuching,MY,1.55,110.3333,79.02,89,40,3.44,scattered clouds
334,Santa Pola,ES,38.1917,-0.5658,82.69,79,0,4.0,clear sky
335,Ukiah,US,39.1502,-123.2078,94.51,30,1,5.75,clear sky
336,Kalmunai,LK,7.4167,81.8167,80.33,71,99,6.2,overcast clouds
337,Selikhino,RU,50.3672,137.4996,59.67,95,100,4.76,moderate rain
338,Rantepao,ID,-2.9701,119.8978,65.95,98,100,1.99,moderate rain
339,Qasigiannguit,GL,68.8193,-51.1922,57.45,65,100,17.0,overcast clouds
340,Kavaratti,IN,10.5669,72.642,82.2,80,99,20.76,overcast clouds
341,Itarema,BR,-2.9248,-39.9167,81.88,66,54,15.57,broken clouds
342,Sorland,NO,67.667,12.6934,53.67,91,100,11.56,overcast clouds
343,Berlevag,NO,70.8578,29.0864,53.55,82,75,0.0,broken clouds
344,Terrace Bay,CA,48.7834,-87.1,68.5,86,100,4.43,overcast clouds
